                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.28012,                0.23207,                0.21912,                0.87396,                 0.9932,                0.99103,                0.99431,                0.93976,                0.99543,                0.99215,                0.99491,                0.85311,                0.35162,                0.11096,                0.21484,                 1.0165,               0.007822,               0.007822,               0.007822
                     46,                0.27685,                0.22959,                0.21589,                0.87188,                0.99581,                0.98902,                0.99415,                0.93733,                0.99738,                0.99058,                0.99489,                0.85027,                0.35644,                0.11126,                0.21202,                 1.0233,              0.0077725,              0.0077725,              0.0077725
                     47,                 0.2788,                0.23039,                0.21642,                0.87429,                0.99413,                0.99086,                0.99397,                0.93743,                0.99676,                0.99285,                0.99497,                0.85354,                0.34925,                0.10947,                0.21416,                 1.0288,               0.007723,               0.007723,               0.007723
                     48,                0.27404,                0.22788,                0.21645,                0.87095,                  0.994,                0.99063,                 0.9942,                0.93824,                 0.9958,                0.99259,                0.99495,                0.85218,                0.35211,                0.11095,                0.20678,                 1.0199,              0.0076735,              0.0076735,              0.0076735
                     49,                0.27356,                0.22787,                0.21529,                0.87106,                0.99221,                0.98973,                0.99434,                 0.9413,                0.99527,                0.99025,                0.99491,                0.85461,                0.34958,                0.10742,                0.21147,                 1.0139,               0.007624,               0.007624,               0.007624
                     50,                0.27257,                0.22465,                0.21405,                0.86912,                0.99542,                0.98958,                0.99419,                0.93716,                0.99751,                0.99142,                0.99497,                0.85268,                 0.3415,                0.10484,                0.20799,                 1.0156,              0.0075745,              0.0075745,              0.0075745
                     51,                0.27221,                 0.2263,                 0.2115,                0.87011,                0.99413,                0.99143,                0.99402,                 0.9393,                0.99619,                0.99272,                0.99493,                 0.8611,                0.34478,                0.10764,                0.20722,                  1.021,               0.007525,               0.007525,               0.007525
                     52,                0.27252,                0.22877,                0.21245,                0.87288,                0.99424,                 0.9909,                0.99425,                0.93652,                 0.9962,                0.99233,                0.99495,                0.85505,                0.34208,                0.10598,                0.20207,                 1.0216,              0.0074755,              0.0074755,              0.0074755
                     53,                0.26828,                0.22285,                0.21026,                0.86827,                0.99362,                0.99254,                0.99423,                 0.9434,                0.99743,                0.99246,                0.99495,                0.86292,                0.34053,                0.10298,                0.20154,                 1.0152,               0.007426,               0.007426,               0.007426
                     54,                0.26728,                  0.221,                0.21054,                 0.8693,                0.99388,                0.99192,                0.99431,                0.94387,                0.99518,                0.99322,                0.99495,                0.86137,                 0.3391,                0.10503,                 0.2059,                  1.006,              0.0073765,              0.0073765,              0.0073765
                     55,                0.26489,                0.21958,                0.20805,                0.86635,                0.99666,                0.98843,                0.99423,                0.93925,                0.99843,                0.98985,                0.99497,                0.85935,                0.34042,                0.10641,                0.20863,                 1.0167,               0.007327,               0.007327,               0.007327
                     56,                0.26294,                0.22193,                0.20618,                0.86731,                0.99387,                0.99163,                0.99422,                0.94357,                0.99492,                0.99292,                 0.9949,                0.86252,                0.33843,                0.10431,                0.20749,                 1.0267,              0.0072775,              0.0072775,              0.0072775
                     57,                0.26129,                0.22043,                0.20399,                0.86508,                0.99517,                0.99051,                0.99425,                0.94185,                0.99725,                0.99206,                0.99494,                0.86225,                0.33602,                0.10163,                0.19795,                 1.0009,               0.007228,               0.007228,               0.007228
                     58,                0.26434,                0.22017,                0.20628,                0.86719,                0.99371,                0.98604,                0.99413,                0.94197,                0.99541,                0.98727,                0.99486,                0.86062,                0.33834,                0.10347,                0.20357,                 1.0227,              0.0071785,              0.0071785,              0.0071785
                     59,                0.26181,                0.22021,                0.20407,                0.86468,                0.99402,                0.99155,                0.99435,                0.94223,                0.99652,                0.99285,                0.99493,                0.86468,                0.33671,                0.10283,                0.19855,                 1.0106,               0.007129,               0.007129,               0.007129
                     60,                0.25762,                0.21811,                0.20309,                0.86377,                0.99555,                0.98844,                 0.9943,                0.94134,                0.99701,                0.98986,                0.99493,                0.86095,                0.33342,                0.10252,                0.20234,                 1.0327,              0.0070795,              0.0070795,              0.0070795
                     61,                0.25415,                0.21973,                0.20105,                0.86214,                0.99574,                0.99116,                0.99444,                0.93916,                0.99757,                0.99298,                0.99497,                0.85541,                0.33308,                0.10327,                0.19848,                 1.0341,                0.00703,                0.00703,                0.00703
                     62,                0.25534,                0.21187,                0.19914,                0.86314,                0.99505,                0.99271,                0.99432,                0.94068,                0.99648,                0.99415,                0.99495,                0.86957,                0.32937,                0.09908,                0.19209,                  1.034,              0.0069805,              0.0069805,              0.0069805
                     63,                0.25888,                0.22054,                0.20227,                0.86389,                0.99483,                0.99155,                0.99425,                0.94269,                0.99752,                 0.9928,                0.99498,                0.86754,                0.33435,                0.09925,                0.19924,                   1.03,               0.006931,               0.006931,               0.006931
                     64,                0.25314,                0.21891,                0.19742,                0.86295,                0.99569,                0.99049,                0.99421,                0.93875,                0.99804,                0.99283,                0.99498,                 0.8634,                0.33004,                0.09892,                0.19524,                 1.0402,              0.0068815,              0.0068815,              0.0068815
                     65,                0.25158,                0.21551,                0.19709,                0.86147,                0.99363,                 0.9935,                0.99434,                 0.9433,                0.99702,                0.99363,                0.99497,                0.86402,                0.32802,                0.10033,                0.19593,                 1.0237,               0.006832,               0.006832,               0.006832
                     66,                0.25138,                0.21236,                0.19622,                0.85981,                0.99556,                0.99161,                0.99435,                0.94803,                  0.997,                0.99302,                0.99496,                0.87171,                0.32709,                0.09829,                0.19178,                 1.0067,              0.0067825,              0.0067825,              0.0067825
                     67,                0.24771,                0.21108,                0.19519,                0.85782,                0.99478,                0.98947,                0.99432,                0.94628,                0.99673,                0.99089,                0.99492,                0.87052,                 0.3275,                0.09931,                0.19595,                 1.0228,               0.006733,               0.006733,               0.006733
                     68,                0.24887,                0.21157,                0.19502,                 0.8601,                0.99659,                0.98872,                0.99423,                0.94748,                0.99803,                0.99004,                0.99494,                0.87606,                 0.3195,                0.09805,                0.19446,                 1.0085,              0.0066835,              0.0066835,              0.0066835
                     69,                0.24653,                0.20885,                0.19268,                0.85858,                0.99504,                0.99175,                0.99435,                 0.9457,                0.99708,                0.99337,                0.99498,                0.87104,                 0.3274,                0.09838,                0.19453,                 1.0208,               0.006634,               0.006634,               0.006634
                     70,                 0.2434,                0.20809,                0.19269,                0.85552,                0.99503,                0.99032,                0.99428,                0.94681,                0.99686,                0.99214,                0.99497,                0.87458,                0.32764,                0.09826,                0.19278,                 1.0287,              0.0065845,              0.0065845,              0.0065845
                     71,                0.24314,                0.21008,                0.19069,                0.85871,                0.99486,                0.99233,                0.99418,                0.94433,                0.99671,                0.99415,                0.99498,                0.87532,                 0.3233,                 0.0981,                0.19232,                 1.0548,               0.006535,               0.006535,               0.006535
                     72,                0.24114,                0.20633,                0.19019,                0.85649,                0.99559,                 0.9909,                0.99406,                0.94515,                0.99794,                0.99324,                0.99496,                0.87648,                 0.3196,                0.09633,                0.19143,                 1.0428,              0.0064855,              0.0064855,              0.0064855
                     73,                0.24263,                0.20417,                0.19025,                0.85727,                0.99452,                 0.9915,                0.99415,                 0.9469,                  0.997,                0.99397,                0.99495,                0.87688,                0.31878,                0.09627,                0.19205,                 1.0275,               0.006436,               0.006436,               0.006436
                     74,                0.24164,                0.20702,                0.18875,                0.85594,                 0.9962,                0.98787,                0.99422,                0.94695,                  0.999,                0.99051,                0.99496,                  0.879,                0.32013,                0.09514,                0.19114,                 1.0254,              0.0063865,              0.0063865,              0.0063865
                     75,                0.24098,                0.20471,                0.18874,                 0.8571,                0.99465,                0.99185,                0.99427,                0.94976,                0.99796,                0.99363,                0.99499,                0.88291,                0.31938,                0.09649,                0.19004,                 1.0366,               0.006337,               0.006337,               0.006337
                     76,                0.24092,                0.20423,                0.18896,                0.85512,                0.99568,                0.99181,                 0.9942,                0.94592,                  0.998,                0.99363,                0.99496,                0.87818,                0.31911,                0.09506,                0.18648,                 1.0322,              0.0062875,              0.0062875,              0.0062875
                     77,                0.23901,                0.20506,                0.18662,                0.85423,                 0.9953,                0.99195,                 0.9944,                0.94847,                0.99817,                0.99232,                0.99495,                 0.8813,                0.31731,                 0.0939,                0.18789,                 1.0367,               0.006238,               0.006238,               0.006238
                     78,                0.23437,                0.20333,                0.18476,                0.85363,                0.99647,                0.99087,                 0.9942,                0.94774,                0.99803,                0.99285,                0.99495,                0.87919,                0.31417,                0.09309,                 0.1867,                 1.0276,              0.0061885,              0.0061885,              0.0061885
                     79,                0.23484,                0.20495,                0.18352,                0.85135,                0.99548,                0.99142,                0.99418,                0.94809,                 0.9983,                0.99288,                0.99495,                0.88057,                0.31391,                0.09332,                0.19103,                 1.0245,               0.006139,               0.006139,               0.006139
                     80,                0.23617,                0.20589,                0.18534,                0.85368,                0.99634,                0.99075,                0.99421,                0.94912,                0.99781,                0.99233,                0.99494,                0.88134,                0.31288,                0.09406,                0.18824,                 1.0207,              0.0060895,              0.0060895,              0.0060895
                     81,                0.23447,                 0.2043,                 0.1836,                0.85246,                0.99529,                 0.9909,                0.99418,                0.94789,                0.99705,                0.99259,                0.99494,                0.87917,                0.31418,                0.09401,                0.18787,                 1.0315,                0.00604,                0.00604,                0.00604
                     82,                 0.2333,                0.20285,                0.18374,                0.85189,                0.99465,                0.99095,                0.99423,                0.94666,                0.99648,                0.99277,                0.99494,                0.87742,                 0.3133,                0.09324,                0.18674,                 1.0289,              0.0059905,              0.0059905,              0.0059905
                     83,                0.23062,                0.19717,                0.18053,                0.85066,                0.99543,                0.99131,                0.99418,                0.94894,                0.99726,                0.99298,                0.99495,                0.88439,                0.31346,                0.09349,                0.18648,                 1.0407,               0.005941,               0.005941,               0.005941
                     84,                0.22925,                0.19952,                0.18005,                0.85292,                0.99556,                0.99229,                0.99421,                0.95003,                  0.997,                0.99305,                0.99494,                0.88101,                0.31175,                0.09493,                0.18564,                 1.0462,              0.0058915,              0.0058915,              0.0058915
                     85,                0.23176,                0.19835,                0.18114,                0.85107,                0.99582,                0.99164,                0.99427,                0.94924,                0.99757,                0.99337,                0.99494,                0.88252,                0.31171,                0.09191,                0.18522,                 1.0358,               0.005842,               0.005842,               0.005842
                     86,                0.23056,                0.19694,                0.18159,                0.85157,                0.99535,                0.99129,                0.99423,                0.94918,                0.99733,                0.99324,                0.99496,                0.88377,                0.30645,                0.09142,                0.18698,                 1.0361,              0.0057925,              0.0057925,              0.0057925
                     87,                0.22938,                0.19908,                0.17938,                0.85063,                0.99583,                0.99269,                0.99428,                0.94832,                0.99722,                0.99454,                0.99495,                0.88179,                0.30596,                0.09118,                0.18598,                 1.0387,               0.005743,               0.005743,               0.005743
                     88,                0.22899,                0.19822,                0.17944,                0.85159,                0.99621,                0.99201,                0.99429,                0.95096,                0.99817,                0.99391,                0.99495,                0.88602,                0.30748,                0.09488,                0.18641,                 1.0373,              0.0056935,              0.0056935,              0.0056935
                     89,                0.22348,                0.19739,                 0.1763,                0.84795,                0.99511,                0.99272,                0.99423,                0.94764,                0.99708,                0.99454,                0.99494,                 0.8853,                 0.3095,                0.09461,                0.18895,                  1.042,               0.005644,               0.005644,               0.005644
                     90,                0.22476,                0.19564,                0.17638,                0.84694,                0.99465,                 0.9921,                0.99423,                0.95191,                0.99707,                0.99402,                0.99495,                0.88816,                0.30593,                0.09266,                0.18476,                 1.0361,              0.0055945,              0.0055945,              0.0055945
                     91,                0.22442,                0.19711,                0.17631,                0.84939,                0.99619,                0.99168,                0.99419,                0.95139,                0.99815,                0.99363,                0.99495,                0.88803,                 0.3043,                0.09198,                0.17945,                 1.0357,               0.005545,               0.005545,               0.005545
                     92,                0.22363,                0.19311,                0.17496,                0.85017,                0.99634,                0.99202,                0.99417,                0.95163,                0.99843,                  0.994,                0.99499,                0.88644,                0.30224,                 0.0914,                0.18016,                   1.05,              0.0054955,              0.0054955,              0.0054955
                     93,                0.22119,                0.19509,                0.17524,                0.84932,                0.99556,                0.99207,                0.99429,                 0.9516,                0.99791,                0.99399,                0.99496,                  0.888,                0.30524,                0.09151,                0.18409,                 1.0532,               0.005446,               0.005446,               0.005446
                     94,                  0.222,                0.19725,                0.17338,                0.84791,                0.99442,                0.99389,                0.99424,                0.94981,                0.99713,                0.99506,                0.99499,                0.88914,                 0.3009,                0.09032,                0.17547,                 1.0511,              0.0053965,              0.0053965,              0.0053965
                     95,                0.22298,                0.19915,                0.17385,                0.84948,                 0.9959,                0.99129,                 0.9941,                0.94872,                0.99817,                0.99313,                0.99495,                0.88787,                0.30307,                0.09209,                0.17925,                 1.0644,               0.005347,               0.005347,               0.005347
                     96,                0.21892,                0.18955,                0.17195,                0.84611,                 0.9944,                0.99284,                0.99418,                0.95009,                0.99841,                0.99272,                0.99499,                0.88743,                0.30273,                0.09208,                0.17914,                 1.0572,              0.0052975,              0.0052975,              0.0052975
                     97,                0.22024,                0.19292,                0.17263,                0.84693,                0.99453,                 0.9932,                0.99414,                0.95225,                 0.9969,                0.99545,                0.99499,                0.88857,                0.30201,                0.08988,                0.17575,                 1.0411,               0.005248,               0.005248,               0.005248
                     98,                0.21935,                0.19464,                0.17304,                0.84928,                0.99402,                0.99324,                 0.9942,                0.95092,                0.99665,                0.99376,                0.99498,                 0.8857,                0.30311,                0.09186,                 0.1765,                  1.051,              0.0051985,              0.0051985,              0.0051985
                     99,                0.21837,                 0.1903,                0.17181,                0.84778,                0.99647,                0.99064,                0.99425,                0.95061,                0.99883,                0.99298,                0.99496,                0.88744,                0.30158,                0.09073,                0.17966,                 1.0544,               0.005149,               0.005149,               0.005149
                    100,                0.21707,                0.19316,                0.17018,                0.84555,                0.99401,                0.99194,                0.99424,                0.95084,                0.99672,                0.99428,                0.99495,                0.88788,                 0.3033,                0.09146,                0.18271,                 1.0434,              0.0050995,              0.0050995,              0.0050995
                    101,                0.21568,                0.18918,                0.16924,                0.84443,                0.99659,                0.98948,                0.99424,                0.95188,                0.99895,                0.99173,                0.99495,                0.88802,                0.30319,                0.08933,                 0.1816,                 1.0408,                0.00505,                0.00505,                0.00505
                    102,                0.21417,                0.18977,                0.16976,                0.84399,                0.99634,                0.99061,                0.99421,                0.95144,                0.99823,                0.99311,                0.99495,                0.89133,                0.30374,                0.08882,                0.18108,                 1.0467,              0.0050005,              0.0050005,              0.0050005
                    103,                0.21179,                0.18654,                0.16817,                 0.8419,                0.99465,                0.99184,                0.99416,                0.95149,                0.99648,                0.99367,                0.99495,                0.89244,                0.30211,                0.08942,                 0.1799,                 1.0439,               0.004951,               0.004951,               0.004951
                    104,                0.21471,                0.18484,                 0.1687,                  0.845,                0.99491,                0.99223,                 0.9943,                0.95161,                 0.9971,                0.99389,                0.99495,                0.89343,                0.30134,                0.08887,                0.17423,                 1.0503,              0.0049015,              0.0049015,              0.0049015
                    105,                0.21391,                0.19121,                0.16879,                0.84611,                0.99673,                0.99231,                0.99436,                0.94966,                0.99869,                0.99436,                0.99496,                0.88798,                0.30309,                0.08971,                0.17743,                 1.0564,               0.004852,               0.004852,               0.004852
                    106,                0.21369,                0.19128,                0.16764,                0.84467,                0.99584,                0.99129,                0.99435,                0.95134,                0.99807,                 0.9935,                0.99499,                0.88841,                0.29987,                0.08828,                0.17701,                 1.0494,              0.0048025,              0.0048025,              0.0048025
                    107,                0.20974,                0.18669,                0.16582,                0.84214,                0.99686,                0.99095,                 0.9944,                0.95123,                0.99908,                0.99289,                0.99495,                0.88964,                0.30061,                0.08788,                0.17782,                  1.053,               0.004753,               0.004753,               0.004753
                    108,                0.20723,                0.18396,                0.16348,                0.84185,                0.99598,                0.99038,                0.99421,                0.94951,                0.99837,                0.99272,                0.99499,                0.88823,                0.30093,                0.08762,                0.17925,                 1.0609,              0.0047035,              0.0047035,              0.0047035
                    109,                0.20767,                0.18593,                0.16431,                0.84152,                0.99601,                0.99155,                0.99428,                  0.951,                0.99823,                0.99376,                0.99499,                0.89015,                0.29927,                 0.0872,                0.17681,                 1.0595,               0.004654,               0.004654,               0.004654
                    110,                0.20825,                0.18776,                0.16444,                0.84236,                  0.996,                 0.9922,                0.99425,                0.95147,                0.99819,                0.99441,                0.99495,                0.89015,                0.30109,                0.08775,                0.17846,                 1.0585,              0.0046045,              0.0046045,              0.0046045
