                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.32559,                0.26808,                0.25842,                0.90679,                0.99253,                0.98739,                0.99439,                0.91238,                0.99477,                0.99006,                0.99482,                 0.8169,                0.51208,                0.12216,                0.27247,                0.97164,               0.001109,               0.001109,               0.001109
                     47,                0.32891,                0.27262,                 0.2582,                0.90596,                0.99019,                 0.9896,                0.99439,                0.90952,                0.99194,                0.99169,                0.99481,                0.81737,                0.50236,                0.12055,                 0.2705,                0.96812,              0.0010892,              0.0010892,              0.0010892
                     48,                0.32319,                0.26472,                0.25615,                0.90405,                0.99463,                0.98839,                0.99435,                 0.9061,                0.99492,                0.99246,                0.99479,                0.81103,                0.50661,                0.12251,                0.26851,                0.97247,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.3195,                0.26614,                0.25417,                0.90221,                0.99153,                0.98895,                0.99446,                 0.9072,                  0.994,                0.99129,                0.99472,                0.81624,                0.50326,                0.11956,                0.26382,                0.97069,              0.0010496,              0.0010496,              0.0010496
                     50,                0.31771,                0.26156,                0.25155,                0.90049,                0.99282,                  0.989,                0.99449,                0.91015,                0.99569,                0.99207,                0.99486,                0.81656,                0.49715,                0.12153,                0.26016,                  0.966,              0.0010298,              0.0010298,              0.0010298
                     51,                0.31829,                0.26426,                0.25238,                0.90129,                0.99433,                0.98882,                0.99438,                0.90541,                0.99635,                0.99077,                 0.9949,                0.81376,                0.49961,                0.11869,                0.26179,                0.98094,                0.00101,                0.00101,                0.00101
                     52,                0.32051,                0.26858,                 0.2536,                0.90338,                0.99477,                0.98904,                0.99431,                0.90223,                0.99665,                 0.9909,                0.99485,                0.81237,                0.50242,                0.12063,                0.26276,                0.99236,              0.0009902,              0.0009902,              0.0009902
                     53,                0.31218,                0.26126,                0.24964,                0.89825,                0.99451,                0.98964,                 0.9945,                0.90817,                0.99686,                0.99216,                0.99483,                0.81879,                0.50108,                0.11836,                 0.2603,                0.98696,              0.0009704,              0.0009704,              0.0009704
                     54,                0.31164,                0.26047,                 0.2473,                0.89885,                0.99374,                0.98778,                0.99439,                0.90891,                0.99608,                0.99072,                0.99489,                0.82226,                0.49767,                0.11837,                 0.2587,                0.99073,              0.0009506,              0.0009506,              0.0009506
                     55,                0.30751,                0.25847,                0.24516,                0.89315,                0.99279,                0.99038,                0.99458,                0.91192,                0.99579,                0.99337,                0.99494,                0.82581,                 0.4928,                0.11584,                0.25825,                0.97856,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.3087,                0.25883,                0.24408,                 0.8964,                 0.9938,                0.98817,                0.99433,                0.91378,                0.99608,                0.99114,                0.99478,                0.82719,                0.48855,                0.11462,                0.25727,                0.96773,               0.000911,               0.000911,               0.000911
                     57,                 0.3041,                0.25672,                0.23973,                0.89384,                 0.9927,                0.99038,                0.99419,                0.91092,                0.99556,                0.99259,                0.99479,                0.82399,                0.49276,                 0.1158,                0.25639,                0.99327,              0.0008912,              0.0008912,              0.0008912
                     58,                0.30818,                0.25773,                0.24349,                0.89478,                0.99374,                0.99019,                0.99411,                0.90866,                0.99541,                0.99324,                0.99492,                0.82227,                0.49523,                0.11557,                0.25475,                 0.9978,              0.0008714,              0.0008714,              0.0008714
                     59,                0.30349,                0.25874,                 0.2411,                0.89285,                0.99323,                0.98986,                0.99443,                0.91069,                 0.9957,                0.99289,                0.99486,                0.82863,                 0.4855,                0.11185,                0.25114,                0.97914,              0.0008516,              0.0008516,              0.0008516
                     60,                0.29961,                0.25363,                0.23818,                0.89043,                0.99357,                0.98973,                 0.9944,                0.91105,                0.99658,                0.99272,                0.99492,                0.82892,                 0.4877,                0.11323,                0.25331,                 0.9909,              0.0008318,              0.0008318,              0.0008318
                     61,                0.29942,                0.25797,                0.23794,                0.88953,                0.99398,                 0.9881,                0.99436,                0.90883,                0.99647,                0.99104,                0.99491,                0.82554,                0.48534,                 0.1129,                 0.2536,                0.98235,               0.000812,               0.000812,               0.000812
                     62,                0.29775,                 0.2495,                0.23557,                0.88846,                0.99375,                0.99064,                0.99429,                0.91199,                0.99617,                0.99415,                0.99494,                0.83043,                0.48909,                0.11238,                0.25333,                0.99411,              0.0007922,              0.0007922,              0.0007922
                     63,                0.30044,                0.25692,                0.23811,                0.88968,                0.99141,                0.99155,                0.99432,                0.90757,                0.99638,                0.99142,                0.99491,                0.82758,                 0.4876,                0.11286,                0.25606,                  0.995,              0.0007724,              0.0007724,              0.0007724
                     64,                0.29477,                 0.2529,                0.23429,                0.88797,                0.99347,                0.98929,                0.99426,                0.90793,                0.99614,                0.99272,                0.99487,                0.83193,                 0.4892,                0.11195,                0.25354,                 1.0031,              0.0007526,              0.0007526,              0.0007526
                     65,                0.28814,                0.25004,                0.22999,                0.88337,                0.99394,                0.98999,                0.99426,                0.90915,                 0.9966,                0.99219,                0.99492,                0.82937,                0.48031,                0.11075,                0.24995,                0.99253,              0.0007328,              0.0007328,              0.0007328
                     66,                0.28954,                0.24699,                0.22992,                 0.8856,                0.99386,                0.99003,                0.99436,                 0.9104,                0.99661,                0.99298,                0.99491,                 0.8312,                0.48843,                0.11012,                0.25217,                  1.008,               0.000713,               0.000713,               0.000713
                     67,                0.28669,                0.24627,                0.22932,                 0.8823,                0.99342,                0.98843,                0.99418,                0.91073,                0.99492,                0.99283,                0.99487,                  0.835,                0.48243,                0.11068,                0.24915,                0.99998,              0.0006932,              0.0006932,              0.0006932
                     68,                0.28613,                0.24661,                 0.2283,                0.88286,                0.99335,                 0.9905,                0.99413,                0.91371,                0.99596,                0.99391,                0.99491,                0.83722,                0.47708,                0.10855,                0.24844,                0.98896,              0.0006734,              0.0006734,              0.0006734
                     69,                0.28544,                0.24325,                0.22701,                0.88373,                0.99489,                0.98869,                0.99416,                0.91097,                0.99687,                0.99287,                0.99492,                0.83526,                0.47747,                0.10784,                0.24566,                0.99137,              0.0006536,              0.0006536,              0.0006536
                     70,                0.28337,                0.24421,                0.22587,                0.88114,                0.99271,                0.99132,                0.99407,                0.91214,                0.99508,                0.99441,                0.99493,                0.83899,                0.47969,                0.10769,                0.24735,                0.99758,              0.0006338,              0.0006338,              0.0006338
                     71,                0.28018,                0.24611,                0.22477,                0.88028,                0.99477,                 0.9885,                0.99385,                 0.9098,                  0.997,                0.99248,                0.99494,                0.83691,                0.48047,                0.10795,                0.24981,                 1.0174,               0.000614,               0.000614,               0.000614
                     72,                0.27872,                0.23951,                0.22224,                0.88181,                0.99407,                0.98986,                0.99391,                0.91227,                 0.9957,                0.99477,                0.99493,                0.83974,                0.47578,                 0.1075,                0.24377,                 1.0077,              0.0005942,              0.0005942,              0.0005942
                     73,                0.27884,                0.23951,                0.22197,                0.87871,                 0.9942,                0.98986,                0.99407,                0.91195,                0.99707,                0.99272,                0.99492,                0.84053,                0.47962,                0.10692,                0.24807,                 1.0152,              0.0005744,              0.0005744,              0.0005744
                     74,                0.27888,                0.24106,                0.22106,                0.87868,                0.99322,                 0.9902,                0.99411,                0.91634,                0.99609,                0.99308,                 0.9949,                0.84078,                0.47691,                0.10688,                0.24516,                 1.0125,              0.0005546,              0.0005546,              0.0005546
                     75,                0.27501,                0.23906,                0.21966,                0.87741,                0.99336,                0.99154,                0.99418,                 0.9165,                0.99557,                0.99372,                0.99491,                0.84274,                0.47395,                0.10699,                0.24248,                 1.0072,              0.0005348,              0.0005348,              0.0005348
                     76,                0.27404,                0.23878,                0.21883,                0.87654,                0.99323,                0.99135,                0.99421,                0.91431,                 0.9957,                 0.9938,                0.99493,                0.84192,                0.47371,                0.10604,                0.24377,                 1.0071,               0.000515,               0.000515,               0.000515
                     77,                0.27252,                0.23816,                0.21632,                0.87653,                0.99287,                0.99142,                0.99424,                0.91346,                0.99534,                0.99389,                 0.9949,                0.83995,                0.47464,                0.10551,                0.24413,                 1.0161,              0.0004952,              0.0004952,              0.0004952
                     78,                0.26819,                 0.2362,                0.21453,                0.87573,                0.99232,                 0.9915,                0.99404,                 0.9105,                0.99503,                0.99402,                0.99492,                0.83912,                0.47653,                0.10615,                0.24372,                 1.0262,              0.0004754,              0.0004754,              0.0004754
                     79,                0.26634,                0.23618,                0.21395,                0.87296,                0.99442,                 0.9896,                0.99412,                0.91281,                0.99661,                0.99402,                0.99492,                0.83951,                0.47016,                0.10511,                0.24263,                 1.0115,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.2655,                0.23717,                0.21438,                0.87345,                0.99335,                0.99077,                0.99418,                0.91453,                0.99635,                0.99419,                0.99493,                0.84235,                0.47044,                 0.1053,                 0.2418,                 1.0138,              0.0004358,              0.0004358,              0.0004358
                     81,                0.26273,                0.23274,                0.21148,                0.87088,                0.99438,                0.98904,                0.99401,                0.91517,                0.99752,                0.99238,                0.99494,                0.84267,                0.46732,                0.10443,                0.24098,                 1.0073,               0.000416,               0.000416,               0.000416
                     82,                0.26426,                0.23666,                0.21186,                 0.8725,                  0.994,                 0.9906,                0.99422,                0.91524,                0.99674,                0.99334,                0.99493,                0.84403,                0.46586,                0.10515,                0.23771,                 1.0136,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.2591,                0.22989,                0.20856,                0.86949,                0.99478,                 0.9909,                 0.9942,                0.91206,                0.99817,                0.99386,                0.99492,                0.84118,                0.46622,                0.10497,                0.24063,                 1.0152,              0.0003764,              0.0003764,              0.0003764
                     84,                0.25899,                0.22914,                0.20929,                 0.8702,                0.99348,                0.99118,                0.99415,                0.91354,                0.99626,                0.99389,                0.99483,                 0.8423,                0.46408,                0.10431,                0.24025,                 1.0085,              0.0003566,              0.0003566,              0.0003566
                     85,                0.26006,                0.22949,                0.20789,                0.87098,                  0.994,                0.99179,                0.99431,                0.91699,                  0.997,                0.99446,                0.99493,                0.84458,                0.46344,                0.10415,                0.23579,                 1.0002,              0.0003368,              0.0003368,              0.0003368
